5.742881011962890625e+01,1.562548522949218750e+02,1.245080108642578125e+02,1.282517547607421875e+02
5.675191116333007812e+01,1.477583007812500000e+02,1.346587219238281250e+02,1.385049896240234375e+02
5.623552703857421875e+01,1.247585525512695312e+02,1.349649353027343750e+02,1.275854187011718750e+02
4.813346099853515625e+01,1.295585479736328125e+02,1.458730621337890625e+02,1.290811309814453125e+02
5.018679809570312500e+01,1.226150054931640625e+02,1.402006835937500000e+02,1.388343200683593750e+02
3.203328704833984375e+01,9.617856597900390625e+01,1.282535400390625000e+02,1.457170257568359375e+02
2.856784057617187500e+01,8.241004943847656250e+01,1.129472122192382812e+02,1.294636535644531250e+02
3.156286239624023438e+01,7.847543334960937500e+01,9.085737609863281250e+01,1.064584350585937500e+02
2.910522651672363281e+01,6.747666168212890625e+01,6.861995697021484375e+01,8.256752014160156250e+01
1.140220737457275391e+01,4.741730117797851562e+01,5.505366516113281250e+01,6.690815734863281250e+01
9.879630088806152344e+00,3.841724014282226562e+01,4.718050384521484375e+01,5.431268692016601562e+01
7.836096763610839844e+00,3.798559570312500000e+01,5.041883087158203125e+01,6.335013580322265625e+01
4.909974098205566406e+00,4.144955444335937500e+01,6.033145904541015625e+01,8.460374450683593750e+01
5.879913806915283203e+00,5.110845184326171875e+01,7.379029083251953125e+01,1.017768325805664062e+02
1.980574131011962891e+00,2.745941925048828125e+01,4.923553466796875000e+01,8.247415161132812500e+01
