3.824404525756835938e+01,1.101736297607421875e+02,9.488815307617187500e+01,1.334834747314453125e+02
3.490777969360351562e+01,1.097731018066406250e+02,9.109671020507812500e+01,1.300044250488281250e+02
3.247247314453125000e+01,1.057786254882812500e+02,9.081457519531250000e+01,1.207037048339843750e+02
3.251519775390625000e+01,1.035469055175781250e+02,9.759585571289062500e+01,1.146600341796875000e+02
3.177930259704589844e+01,1.039912109375000000e+02,1.048107376098632812e+02,1.242044982910156250e+02
2.991016006469726562e+01,1.050074920654296875e+02,1.017055664062500000e+02,1.348033752441406250e+02
2.496726989746093750e+01,9.967749023437500000e+01,9.269262695312500000e+01,1.241901092529296875e+02
1.875845336914062500e+01,8.116098785400390625e+01,8.028723144531250000e+01,1.032742538452148438e+02
1.440444374084472656e+01,6.489202880859375000e+01,7.351195526123046875e+01,9.775107574462890625e+01
1.172454261779785156e+01,5.130911636352539062e+01,6.040958404541015625e+01,7.553393554687500000e+01
9.882844924926757812e+00,3.842284774780273438e+01,4.718632507324218750e+01,5.430556106567382812e+01
1.495001697540283203e+01,4.807356643676757812e+01,6.023047637939453125e+01,7.557226562500000000e+01
1.191264915466308594e+01,5.775413131713867188e+01,7.229919433593750000e+01,9.107768249511718750e+01
1.540867614746093750e+01,6.963773345947265625e+01,8.624774169921875000e+01,1.002425842285156250e+02
1.723208999633789062e+01,9.925523376464843750e+01,1.230921936035156250e+02,1.184264678955078125e+02
