Number of input frames,upper body mean\pmerror at 80ms,upper body mean\pmerror at 400ms,upper body mean\pmerror at 560ms,upper body mean\pmerror at 1000ms,lower body mean\pmerror at 80ms,lower body mean\pmerror at 400ms,lower body mean\pmerror at 560ms,lower body mean\pmerror at 1000ms
1,4.75\pm0.08,39.67\pm0.66,53.19\pm0.90,73.81\pm1.34,10.87\pm0.14,86.08\pm1.12,109.61\pm1.42,116.93\pm1.66
2,3.79\pm0.05,133.44\pm1.39,206.20\pm1.88,316.07\pm1.93,9.63\pm0.12,319.68\pm3.20,416.35\pm3.48,497.89\pm3.03
3,0.09\pm0.00,15.01\pm0.20,37.53\pm0.48,122.16\pm1.39,0.20\pm0.00,32.17\pm0.41,78.10\pm0.96,222.86\pm2.33
4,0.10\pm0.00,16.06\pm0.25,40.64\pm0.63,129.67\pm1.75,0.19\pm0.00,31.32\pm0.47,78.55\pm1.15,233.11\pm2.70
5,0.09\pm0.00,13.69\pm0.21,34.06\pm0.52,108.48\pm1.51,0.15\pm0.00,26.16\pm0.36,65.19\pm0.90,193.46\pm2.35
10,0.08\pm0.00,12.72\pm0.18,31.91\pm0.45,108.16\pm1.42,0.15\pm0.00,25.52\pm0.34,63.87\pm0.84,201.54\pm2.28
15,0.08\pm0.00,13.03\pm0.20,32.57\pm0.50,108.45\pm1.50,0.15\pm0.00,24.63\pm0.34,61.98\pm0.85,197.56\pm2.39
20,0.08\pm0.00,12.00\pm0.18,29.69\pm0.45,97.95\pm1.40,0.14\pm0.00,22.17\pm0.31,54.59\pm0.76,173.71\pm2.19
25,0.08\pm0.00,11.86\pm0.18,29.34\pm0.44,97.17\pm1.42,0.14\pm0.00,23.03\pm0.32,56.86\pm0.80,175.34\pm2.19
